"LIBNAME","ZIP","POPU_LSA","CENTLIB","BRANLIB","MASTER","LIBRARIA","OTHPAID","TOTSTAFF","LOCGVT","STGVT","FEDGVT","TOTINCM","SALARIES","TOTEXPCO","TOTOPEXP","CAP_REV","CAPITAL","HRS_OPEN","VISITS","REGBOR","TOTCIR","TOTCOLL","TOTPRO","TOTATTEN","PITUSR","WIFISESS","LONGITUD","LATITUDE","CNTYPOP"
"TOPINABEE PUBLIC LIBRARY",49791,1652,1,0,0,0.95,0,0.95,40827,858,0,41685,-9,5756,50878,0,3182,1664,4630,830,16805,16805,10,457,1675,1225,-84.5914,45.48437,25413
"TRAVERSE AREA DISTRICT LIBRARY",49686,97396,1,2,7.5,8.5,42.15,50.65,4819603,107390,1500,5247655,2139422,538610,4874243,0,130283,8135,589791,64577,1109468,1185130,1321,36344,66683,159582,-85.6075,44.75627,92573
"TROY PUBLIC LIBRARY",48084,80980,1,0,15.5,15.5,33.13,48.63,3348347,86051,0,3550376,1520105,595000,3731725,773913,773912,2860,406455,58598,1189504,1290314,774,38108,34354,83827,-83.1543,42.5624,1259201
"UTICA PUBLIC LIBRARY",48317,4757,1,0,0,1.5,1.35,2.85,231729,4992,0,247332,96102,17900,204209,0,12612,2046,20483,1968,31121,31277,73,1037,2156,4823,-83.0366,42.62594,874759
"VAN BUREN DISTRICT LIBRARY",49045,44265,1,6,3.43,10,17.3,27.3,1989430,28283,0,2211430,1067668,236725,1957247,0,84931,16862,179324,18652,313108,331119,1820,18351,27657,17410,-85.9752,42.10967,75448
"VERMONTVILLE TOWNSHIP LIBRARY",49096,3895,1,0,0,1.68,0,1.68,72484,2547,0,86469,-9,12281,87769,0,0,1664,11352,2377,10338,10338,95,1563,1822,5165,-85.0242,42.62744,109826
"VERNON DISTRICT PUBLIC LIBRARY",48476,4614,1,0,0,0.8,0.83,1.63,66105,3018,0,78464,-9,6724,75602,0,0,1976,2886,1020,8268,10493,31,686,1251,821,-84.0316,42.93925,68192
"CHIPPEWA RIVER DISTRICT LIBRARY SYSTEM",48858,51640,1,4,6,9,18.8,27.8,2150083,33778,0,2313365,1056419,248519,2091525,0,123044,10552,236269,10996,324537,324537,1130,25872,49036,50190,-84.7753,43.60251,70562
"VICKSBURG DISTRICT LIBRARY",49097,12238,1,0,1.88,2.63,3.86,6.49,307975,7201,757,335525,219502,28954,362817,55000,43611,2932,36541,5602,59416,59416,235,5827,6317,7766,-85.5338,42.11856,264870
"WAKEFIELD PUBLIC LIBRARY",49968,2156,1,0,0,0.9,0.15,1.05,82706,1722,237,89252,-9,8785,87325,0,0,1494,7176,622,9137,9137,102,729,1437,2144,-89.9423,46.47475,15096
